customer_id,tenure_months,support_tickets,plan_tier,churned
1,47,50.04,C,0
2,25,224.85,A,0
3,33,278.02,B,1
4,8,435.57,B,1
5,27,166.43,B,0
6,31,111.64,C,0
7,37,147.44,D,0
8,18,60.39,A,0
9,44,158.86,B,0
10,36,80.37,D,0
11,41,229.94,D,0
12,26,342.09,A,1
13,51,305.53,C,1
14,19,416.54,C,1
15,7,73.35,D,0
16,21,66.86,A,0
17,26,436.2,D,1
18,6,118.17,C,0
19,10,254.78,C,0
20,54,277.01,B,1
21,32,19.84,A,0
22,14,430.5,C,1
23,21,68.75,D,0
24,1,382.72,C,1
25,45,405.88,B,1
26,49,298.23,A,1
27,45,151.36,B,0
28,51,187.22,D,0
29,40,298.94,C,1
30,58,151.41,C,0
31,26,367.91,C,1
32,43,416.02,D,1
33,27,20.21,B,0
34,20,375.96,D,1
35,49,312.59,C,1
36,23,364.75,C,1
37,48,438.9,A,1
38,14,132.45,A,0
39,25,379.09,D,1
40,20,281.5,A,1
41,26,76.78,A,0
42,42,63.9,D,0
43,40,99.65,D,0
44,17,247.61,B,0
45,50,426.58,C,1
46,18,380.25,C,1
47,43,294.47,C,1
48,38,199.02,B,0
49,25,356.9,B,1
50,11,363.8,B,1
51,44,203.48,C,0
52,33,294.61,A,1
53,7,373.05,D,1
54,48,126.37,A,0
55,14,421.42,D,1
56,7,397.19,B,1
57,40,419.27,D,1
58,6,240.54,B,0
59,52,110.8,A,0
60,33,432.96,A,1
61,16,322.62,A,1
62,20,403.84,C,1
63,41,31.0,A,0
64,51,428.95,A,1
65,55,60.57,C,0
66,10,440.62,A,1
67,49,384.31,B,1
68,12,302.83,C,1
69,35,175.69,D,0
70,24,97.78,B,0
71,55,306.59,C,1
72,23,238.89,D,0
73,30,248.08,C,0
74,41,338.02,B,1
75,10,106.44,D,0
76,40,443.32,C,1
77,8,165.79,A,0
78,43,66.59,D,0
79,36,450.46,A,1
80,4,344.26,A,1
81,1,442.58,D,1
82,20,336.45,C,1
83,30,365.17,D,1
84,19,158.2,A,0
85,37,174.37,D,0
86,38,114.83,C,0
87,24,128.15,D,0
88,57,284.59,B,1
89,42,468.7,D,1
90,24,453.44,A,1
91,34,147.18,C,0
92,19,19.39,C,0
93,48,27.57,D,0
94,9,413.23,D,1
95,22,231.37,B,0
96,46,211.8,C,0
97,18,230.86,C,0
98,4,234.59,B,0
99,25,167.89,A,0
100,8,44.03,A,0
101,28,231.05,A,0
102,28,434.34,A,1
103,29,138.21,C,0
104,1,489.01,A,1
105,9,489.41,A,1
106,12,214.84,D,0
107,9,484.5,A,1
108,6,423.6,C,1
109,12,53.26,B,0
110,31,490.02,B,1
111,16,176.76,D,0
112,52,358.3,B,1
113,39,431.48,D,1
114,10,94.97,D,0
115,43,326.89,C,1
116,17,175.78,D,0
117,52,466.6,A,1
118,12,33.9,A,0
119,12,319.29,C,1
120,47,193.88,D,0
121,37,176.75,A,0
122,27,31.39,C,0
123,13,423.9,B,1
124,57,288.5,C,1
125,10,38.39,B,0
126,44,385.12,A,1
127,11,81.27,D,0
128,11,42.71,A,0
129,4,492.41,A,1
130,15,186.29,C,0
131,27,243.24,B,0
132,22,143.56,D,0
133,7,11.31,B,0
134,3,298.03,A,1
135,52,158.85,C,0
136,1,138.14,B,0
137,39,300.59,D,1
138,53,112.12,A,0
139,12,447.67,B,1
140,41,133.74,C,0
141,20,44.48,D,0
142,48,272.01,C,1
143,10,342.47,A,1
144,59,474.8,C,1
145,32,459.18,D,1
146,10,146.76,A,0
147,34,96.11,B,0
148,44,164.89,D,0
149,35,234.44,A,0
150,1,438.24,C,1
151,26,409.98,C,1
152,6,54.68,B,0
153,7,78.35,C,0
154,41,27.05,D,0
155,58,359.38,C,1
156,2,46.09,A,0
157,54,101.56,D,0
158,59,34.89,B,0
159,37,436.51,A,1
160,39,85.32,C,0
161,31,10.29,C,0
162,33,295.43,B,1
163,47,139.03,B,0
164,25,98.92,A,0
165,9,433.53,B,1
166,11,161.87,B,0
167,1,475.69,B,1
168,55,265.06,B,1
169,18,66.23,B,0
170,8,94.77,D,0
171,47,215.07,C,0
172,39,137.55,A,0
173,14,308.47,D,1
174,16,325.4,C,1
175,38,117.92,C,0
176,19,92.78,C,0
177,15,149.25,D,0
178,41,244.29,B,0
179,51,432.71,C,1
180,38,485.18,A,1
181,29,287.35,D,1
182,58,436.52,A,1
183,9,358.99,D,1
184,21,296.76,D,1
185,20,386.29,B,1
186,38,256.85,D,0
187,55,141.36,C,0
188,10,171.32,B,0
189,40,483.45,B,1
190,39,32.09,B,0
191,36,465.09,C,1
192,50,474.35,B,1
193,55,353.7,B,1
194,42,38.26,B,0
195,24,209.56,A,0
196,18,189.14,A,0
197,47,388.02,B,1
198,41,157.12,A,0
199,56,79.62,C,0
200,57,99.83,D,0
201,11,386.84,A,1
202,46,458.86,C,1
203,28,196.83,D,0
204,38,164.03,D,0
205,39,187.92,D,0
206,57,192.59,D,0
207,42,465.81,A,1
208,43,120.55,C,0
209,13,192.5,D,0
210,31,14.07,C,0
211,18,161.11,A,0
212,32,361.04,A,1
213,54,285.21,B,1
214,33,69.97,B,0
215,5,339.61,B,1
216,59,405.4,A,1
217,33,385.78,D,1
218,56,99.26,B,0
219,1,272.12,C,0
220,13,201.37,D,0
221,57,238.64,D,0
222,56,417.21,A,1
223,54,44.62,C,0
224,1,110.35,A,0
225,39,93.4,B,0
226,10,333.94,B,1
227,57,155.72,A,0
228,7,117.67,C,0
229,37,77.39,C,0
230,25,45.27,D,0
231,13,293.35,D,1
232,3,264.65,D,0
233,46,306.66,C,1
234,50,350.51,C,1
235,8,267.71,B,0
236,20,329.46,D,1
237,7,134.1,B,0
238,36,213.83,A,0
239,31,133.49,C,0
240,49,254.81,A,1
241,19,272.0,B,0
242,48,200.58,B,0
243,36,82.25,D,0
244,5,219.73,C,0
245,14,108.62,D,0
246,8,87.05,C,0
247,10,97.11,B,0
248,13,116.32,D,0
249,56,177.9,B,0
250,37,145.69,B,0
251,23,434.06,A,1
252,34,100.71,A,0
253,12,126.74,C,0
254,59,141.42,A,0
255,51,93.96,D,0
256,45,116.0,C,0
257,2,95.23,C,0
258,55,34.75,B,0
259,33,303.01,A,1
260,7,22.83,B,0
261,41,158.22,D,0
262,34,455.08,D,1
263,54,485.22,B,1
264,47,216.88,D,0
265,49,485.98,B,1
266,42,17.3,C,0
267,19,136.42,B,0
268,28,497.15,D,1
269,31,320.53,D,1
270,4,154.86,A,0
271,13,173.25,D,0
272,58,288.24,B,1
273,12,314.82,A,1
274,21,149.32,D,0
275,35,414.87,A,1
276,32,148.81,B,0
277,4,432.01,B,1
278,20,467.48,D,1
279,41,385.4,C,1
280,28,100.96,D,0
281,37,344.92,B,1
282,49,354.2,C,1
283,45,484.22,D,1
284,16,485.87,A,1
285,16,492.34,A,1
286,22,370.22,D,1
287,49,407.18,A,1
288,31,182.14,D,0
289,57,430.98,D,1
290,40,305.88,A,1
291,57,138.3,B,0
292,33,94.92,D,0
293,51,126.3,B,0
294,59,41.72,C,0
295,3,255.02,C,0
296,33,242.81,B,0
297,32,92.11,A,0
298,50,91.13,D,0
299,15,457.27,C,1
300,50,267.02,C,1
301,32,42.36,B,0
302,47,88.77,D,0
303,38,353.63,C,1
304,28,199.38,B,0
305,32,333.02,C,1
306,15,99.43,D,0
307,10,437.28,D,1
308,17,269.92,C,0
309,34,347.11,B,1
310,10,62.38,A,0
311,46,21.33,B,0
312,44,183.59,C,0
313,30,225.41,B,0
314,46,222.0,C,0
315,45,337.99,B,1
316,40,112.85,C,0
317,8,458.97,A,1
318,44,442.62,A,1
319,46,339.31,C,1
320,30,483.77,B,1
321,44,299.93,A,1
322,47,160.65,A,0
323,11,204.85,D,0
324,56,355.5,B,1
325,39,96.65,C,0
326,2,90.84,A,0
327,43,304.76,A,1
328,29,429.43,A,1
329,49,260.27,B,1
330,45,398.62,D,1
331,59,231.86,D,0
332,6,299.17,D,1
333,41,455.28,D,1
334,45,184.3,B,0
335,12,101.68,A,0
336,44,423.2,B,1
337,47,375.95,B,1
338,25,60.25,C,0
339,15,302.14,C,1
340,16,17.76,C,0
341,17,213.28,B,0
342,45,96.84,B,0
343,21,134.04,D,0
344,11,394.86,C,1
345,8,431.77,A,1
346,16,275.37,D,0
347,10,454.09,B,1
348,49,91.49,D,0
349,17,71.67,B,0
350,53,248.55,A,1
351,10,169.57,A,0
352,47,153.52,C,0
353,59,330.43,A,1
354,47,480.52,D,1
355,56,381.93,D,1
356,6,244.12,C,0
357,39,160.96,C,0
358,27,383.45,C,1
359,43,238.82,B,0
360,30,497.59,A,1
361,32,464.36,C,1
362,17,117.29,A,0
363,38,431.5,C,1
364,8,238.07,D,0
365,52,104.04,D,0
366,46,34.83,B,0
367,35,62.22,D,0
368,14,196.72,B,0
369,19,129.74,A,0
370,52,481.95,B,1
371,5,100.76,C,0
372,14,134.47,C,0
373,33,415.24,B,1
374,42,79.23,D,0
375,44,493.67,D,1
376,58,191.62,B,0
377,41,115.88,C,0
378,37,435.33,C,1
379,27,485.09,B,1
380,44,10.43,D,0
381,23,83.71,A,0
382,7,38.63,A,0
383,7,16.91,C,0
384,21,375.05,B,1
385,27,245.0,C,0
386,31,54.44,D,0
387,10,148.51,B,0
388,11,245.07,B,0
389,20,314.98,A,1
390,51,207.78,C,0
391,39,379.78,A,1
392,28,78.66,D,0
393,46,232.99,B,0
394,41,62.72,C,0
395,15,60.1,D,0
396,16,361.53,A,1
397,22,445.71,C,1
398,58,483.76,D,1
399,12,301.57,B,1
400,39,380.94,B,1
401,10,441.37,D,1
402,16,343.0,D,1
403,21,472.74,B,1
404,26,274.82,C,1
405,55,327.7,A,1
406,26,256.04,D,0
407,34,456.6,D,1
408,36,106.75,B,0
409,46,99.69,D,0
410,16,304.48,B,1
411,2,263.98,A,0
412,38,155.05,C,0
413,42,106.26,C,0
414,58,220.78,C,0
415,59,139.69,B,0
416,23,136.76,B,0
417,57,308.48,B,1
418,47,216.01,D,0
419,17,233.67,D,0
420,46,397.7,C,1
