OrderID,OrderDate,Region,CustomerSegment,ProductCategory,UnitCost,UnitPrice,UnitsSold,MarketingSpend,Profit
1,2023-04-13,South,Home Office,Food,10.24,14.63,25,399.56,-289.81
2,2024-03-11,North,Corporate,Food,20.5,29.68,33,419.74,-116.8
3,2023-09-28,North,Home Office,Food,52.58,84.55,7,257.69,-33.9
4,2023-04-17,East,Small Business,Electronics,64.55,82.15,12,492.49,-281.29
5,2023-03-13,East,Small Business,Clothing,81.49,105.17,16,404.02,-25.14
6,2024-12-01,West,Small Business,Furniture,19.6,30.11,16,398.15,-229.99
7,2023-01-21,West,Small Business,Clothing,86.57,153.99,43,386.53,2512.53
8,2024-09-06,East,Consumer,Clothing,77.14,127.86,36,117.77,1708.15
9,2023-05-02,South,Small Business,Electronics,46.77,63.96,13,147.75,75.72
10,2024-04-11,West,Home Office,Food,93.96,139.75,7,258.8,61.73
11,2023-08-03,East,Corporate,Food,99.18,124.33,36,168.8,736.6
12,2023-11-27,West,Home Office,Electronics,28.45,33.21,47,236.86,-13.14
13,2024-04-03,East,Small Business,Electronics,44.13,79.63,9,449.81,-130.31
14,2023-03-29,North,Consumer,Electronics,93.38,125.02,32,420.95,591.53
15,2024-01-08,East,Small Business,Electronics,74.94,94.42,11,333.52,-119.24
16,2023-04-10,North,Corporate,Electronics,14.33,24.68,8,436.15,-353.35
17,2024-10-25,West,Home Office,Furniture,80.34,133.06,33,402.7,1337.06
18,2023-05-11,East,Corporate,Clothing,84.51,141.12,23,243.04,1058.99
19,2024-10-23,West,Corporate,Clothing,77.55,101.28,25,140.48,452.77
20,2023-11-05,North,Corporate,Clothing,81.96,107.32,8,281.39,-78.51
21,2023-12-10,East,Home Office,Food,84.26,109.43,45,381.3,751.35
22,2024-05-06,West,Small Business,Furniture,26.78,33.65,22,246.39,-95.25
23,2024-02-18,North,Corporate,Clothing,31.21,52.75,4,350.05,-263.89
24,2024-01-21,West,Home Office,Food,67.04,124.91,40,92.45,2222.35
25,2023-07-11,South,Consumer,Furniture,91.71,160.67,3,386.6,-179.72
26,2023-10-04,North,Home Office,Furniture,38.46,69.72,29,415.72,490.82
27,2023-06-10,North,Consumer,Food,62.95,92.18,41,368.08,830.35
28,2024-04-04,North,Home Office,Furniture,71.47,120.69,29,485.27,942.11
29,2023-11-10,East,Small Business,Food,50.68,71.91,34,421.99,299.83
30,2023-01-22,East,Corporate,Clothing,74.24,116.78,34,456.39,989.97
31,2023-09-10,East,Small Business,Food,90.97,139.5,28,470.11,888.73
32,2024-07-14,South,Home Office,Furniture,66.17,83.32,13,410.61,-187.66
33,2024-04-19,South,Corporate,Clothing,58.58,84.85,15,353.42,40.63
34,2023-02-28,North,Consumer,Clothing,49.49,97.37,23,52.57,1048.67
35,2024-05-25,South,Home Office,Electronics,61.97,82.03,44,259.62,623.02
36,2024-11-12,West,Corporate,Electronics,41.98,51.23,26,307.02,-66.52
37,2024-04-20,North,Consumer,Furniture,45.23,66.79,4,186.81,-100.57
38,2024-11-30,North,Consumer,Food,57.87,104.82,26,193.15,1027.55
39,2023-07-09,West,Small Business,Food,16.0,25.98,40,482.52,-83.32
40,2024-11-17,North,Home Office,Furniture,30.61,52.43,9,451.27,-254.89
41,2024-07-16,South,Consumer,Clothing,58.86,74.79,5,432.13,-352.48
42,2024-07-20,East,Corporate,Furniture,48.84,80.93,32,232.71,794.17
43,2023-09-01,West,Consumer,Furniture,39.95,55.58,20,56.16,256.44
44,2024-05-19,South,Consumer,Clothing,75.75,140.2,11,86.1,622.85
45,2023-05-11,West,Small Business,Food,72.43,120.7,15,190.49,533.56
46,2024-04-29,West,Small Business,Furniture,25.01,31.99,32,57.08,166.28
47,2024-10-08,North,Corporate,Food,89.08,103.17,28,57.72,336.8
48,2023-01-21,North,Small Business,Furniture,54.59,62.14,22,462.47,-296.37
49,2023-06-16,South,Consumer,Clothing,76.73,110.05,41,367.77,998.35
50,2023-10-01,West,Consumer,Clothing,61.58,82.47,17,189.03,166.1
51,2024-01-23,North,Small Business,Electronics,99.79,167.8,26,109.69,1658.57
